#NWSLID="SCOA2"
#RATING SHIFTED="06/15/2005"
#Scottie River near Northway AK,
#Rating 1.d valid since 06/15/2005,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
12.02,383.00
12.03,384.00
12.04,385.00
12.05,386.00
12.06,387.00
12.07,387.00
12.08,388.00
12.09,389.00
12.10,390.00
12.11,391.00
12.12,392.00
12.13,393.00
12.14,394.00
12.15,395.00
12.16,396.00
12.17,397.00
12.18,398.00
12.19,399.00
12.20,400.00
12.21,401.00
12.22,402.00
12.23,403.00
12.24,404.00
12.25,405.00
12.26,406.00
12.27,407.00
12.28,408.00
12.29,409.00
12.30,410.00
12.31,410.00
12.32,411.00
12.33,412.00
12.34,413.00
12.35,414.00
12.36,415.00
12.37,416.00
12.38,417.00
12.39,418.00
12.40,419.00
12.41,420.00
12.42,421.00
12.43,422.00
12.44,423.00
12.45,424.00
12.46,425.00
12.47,426.00
12.48,427.00
12.49,428.00
12.50,429.00
12.51,430.00
12.52,431.00
12.53,432.00
12.54,433.00
12.55,434.00
12.56,435.00
12.57,436.00
12.58,437.00
12.59,437.00
12.60,438.00
12.61,439.00
12.62,440.00
12.63,441.00
12.64,442.00
12.65,443.00
12.66,444.00
12.67,445.00
12.68,446.00
12.69,447.00
12.70,448.00
12.71,449.00
12.72,450.00
12.73,451.00
12.74,452.00
12.75,453.00
12.76,454.00
12.77,455.00
12.78,456.00
12.79,457.00
12.80,458.00
12.81,459.00
12.82,460.00
12.83,461.00
12.84,462.00
12.85,463.00
12.86,464.00
12.87,465.00
12.88,466.00
12.89,467.00
12.90,468.00
12.91,468.00
12.92,469.00
12.93,470.00
12.94,471.00
12.95,472.00
12.96,473.00
12.97,474.00
12.98,475.00
12.99,476.00
13.00,477.00
13.01,478.00
13.02,479.00
13.03,480.00
13.04,481.00
13.05,482.00
13.06,483.00
13.07,484.00
13.08,485.00
13.09,486.00
13.10,487.00
13.11,488.00
13.12,489.00
13.13,490.00
13.14,491.00
13.15,492.00
13.16,493.00
13.17,494.00
13.18,495.00
13.19,496.00
13.20,497.00
13.21,498.00
13.22,499.00
13.23,500.00
13.24,501.00
13.25,502.00
13.26,503.00
13.27,504.00
13.28,505.00
13.29,506.00
13.30,506.00
13.31,507.00
13.32,508.00
13.33,509.00
13.34,510.00
13.35,511.00
13.36,512.00
13.37,513.00
13.38,514.00
13.39,515.00
13.40,516.00
13.41,517.00
13.42,518.00
13.43,519.00
13.44,520.00
13.45,521.00
13.46,522.00
13.47,523.00
13.48,524.00
13.49,525.00
13.50,526.00
13.51,527.00
13.52,528.00
13.53,529.00
13.54,530.00
13.55,531.00
13.56,532.00
13.57,533.00
13.58,534.00
13.59,535.00
13.60,536.00
13.61,537.00
13.62,538.00
13.63,539.00
13.64,540.00
13.65,541.00
13.66,542.00
13.67,543.00
13.68,544.00
13.69,545.00
13.70,546.00
13.71,547.00
13.72,548.00
13.73,549.00
13.74,550.00
13.75,551.00
13.76,552.00
13.77,553.00
13.78,554.00
13.79,555.00
13.80,556.00
13.81,557.00
13.82,557.00
13.83,558.00
13.84,559.00
13.85,560.00
13.86,561.00
13.87,562.00
13.88,563.00
13.89,564.00
13.90,565.00
13.91,566.00
13.92,567.00
13.93,568.00
13.94,569.00
13.95,570.00
13.96,571.00
13.97,572.00
13.98,573.00
13.99,574.00
14.00,575.00
14.01,576.00
14.02,577.00
14.03,578.00
14.04,579.00
14.05,580.00
14.06,581.00
14.07,582.00
14.08,583.00
14.09,584.00
14.10,585.00
14.11,586.00
14.12,587.00
14.13,588.00
14.14,589.00
14.15,590.00
14.16,591.00
14.17,592.00
14.18,593.00
14.19,594.00
14.20,595.00
14.21,596.00
14.22,597.00
14.23,598.00
14.24,599.00
14.25,600.00
14.26,601.00
14.27,602.00
14.28,603.00
14.29,604.00
14.30,605.00
14.31,606.00
14.32,607.00
14.33,608.00
14.34,609.00
14.35,610.00
14.36,611.00
14.37,612.00
14.38,613.00
14.39,614.00
14.40,615.00
14.41,616.00
14.42,617.00
14.43,618.00
14.44,619.00
14.45,620.00
14.46,621.00
14.47,622.00
14.48,623.00
14.49,624.00
14.50,625.00
14.51,626.00
14.52,627.00
14.53,628.00
14.54,629.00
14.55,630.00
14.56,631.00
14.57,632.00
14.58,633.00
14.59,634.00
14.60,635.00
14.61,636.00
