#NWSLID="TOGA2"
#RATING SHIFTED="10/01/1999"
#Togiak River 2 miles above Pungokepuk Creek near Togiak AK,
#Rating 1.a valid since 10/01/1999,
#exported from SKED on 05/02/2016,
#
#Stage [ft],Flow [cfs]
92.49,19500.00
92.50,19600.00
92.51,19600.00
92.52,19600.00
92.53,19700.00
92.54,19700.00
92.55,19800.00
92.56,19800.00
92.57,19900.00
92.58,19900.00
92.59,19900.00
92.60,20000.00
92.61,20000.00
92.62,20100.00
92.63,20100.00
92.64,20100.00
92.65,20200.00
92.66,20200.00
92.67,20300.00
92.68,20300.00
92.69,20300.00
92.70,20400.00
92.71,20400.00
92.72,20500.00
92.73,20500.00
92.74,20500.00
92.75,20600.00
92.76,20600.00
92.77,20700.00
92.78,20700.00
92.79,20700.00
92.80,20800.00
92.81,20800.00
92.82,20900.00
92.83,20900.00
92.84,21000.00
92.85,21000.00
92.86,21000.00
92.87,21100.00
92.88,21100.00
92.89,21200.00
92.90,21200.00
92.91,21200.00
92.92,21300.00
92.93,21300.00
92.94,21400.00
92.95,21400.00
92.96,21400.00
92.97,21500.00
92.98,21500.00
92.99,21600.00
93.00,21600.00
93.01,21600.00
93.02,21700.00
93.03,21700.00
93.04,21800.00
93.05,21800.00
93.06,21900.00
93.07,21900.00
93.08,21900.00
93.09,22000.00
93.10,22000.00
93.11,22100.00
93.12,22100.00
93.13,22100.00
93.14,22200.00
93.15,22200.00
93.16,22300.00
93.17,22300.00
93.18,22300.00
93.19,22400.00
93.20,22400.00
93.21,22500.00
93.22,22500.00
93.23,22500.00
93.24,22600.00
93.25,22600.00
93.26,22700.00
93.27,22700.00
93.28,22700.00
93.29,22800.00
93.30,22800.00
93.31,22900.00
93.32,22900.00
93.33,22900.00
93.34,23000.00
93.35,23000.00
93.36,23100.00
93.37,23100.00
93.38,23100.00
93.39,23200.00
93.40,23200.00
93.41,23300.00
93.42,23300.00
93.43,23400.00
93.44,23400.00
93.45,23400.00
93.46,23500.00
93.47,23500.00
93.48,23600.00
93.49,23600.00
93.50,23600.00
93.51,23700.00
93.52,23700.00
93.53,23800.00
93.54,23800.00
93.55,23800.00
93.56,23900.00
93.57,23900.00
93.58,24000.00
93.59,24000.00
93.60,24000.00
93.61,24100.00
93.62,24100.00
93.63,24200.00
93.64,24200.00
93.65,24300.00
93.66,24300.00
93.67,24300.00
93.68,24400.00
93.69,24400.00
93.70,24500.00
93.71,24500.00
93.72,24500.00
93.73,24600.00
93.74,24600.00
93.75,24700.00
93.76,24700.00
93.77,24700.00
93.78,24800.00
93.79,24800.00
93.80,24900.00
93.81,24900.00
93.82,25000.00
93.83,25000.00
93.84,25000.00
93.85,25100.00
93.86,25100.00
93.87,25200.00
93.88,25200.00
93.89,25200.00
93.90,25300.00
93.91,25300.00
93.92,25400.00
93.93,25400.00
93.94,25400.00
93.95,25500.00
93.96,25500.00
93.97,25600.00
93.98,25600.00
93.99,25700.00
94.00,25700.00
94.01,25700.00
94.02,25800.00
94.03,25800.00
94.04,25900.00
94.05,25900.00
94.06,25900.00
94.07,26000.00
94.08,26000.00
94.09,26100.00
94.10,26100.00
94.11,26100.00
94.12,26200.00
94.13,26200.00
94.14,26300.00
94.15,26300.00
94.16,26400.00
94.17,26400.00
94.18,26400.00
94.19,26500.00
94.20,26500.00
94.21,26600.00
94.22,26600.00
94.23,26600.00
94.24,26700.00
94.25,26700.00
94.26,26800.00
94.27,26800.00
94.28,26900.00
94.29,26900.00
94.30,26900.00
94.31,27000.00
94.32,27000.00
94.33,27100.00
94.34,27100.00
94.35,27100.00
94.36,27200.00
94.37,27200.00
94.38,27300.00
94.39,27300.00
94.40,27400.00
94.41,27400.00
94.42,27400.00
94.43,27500.00
94.44,27500.00
94.45,27600.00
94.46,27600.00
94.47,27600.00
94.48,27700.00
94.49,27700.00
94.50,27800.00
94.51,27800.00
94.52,27900.00
94.53,27900.00
94.54,27900.00
94.55,28000.00
94.56,28000.00
94.57,28100.00
94.58,28100.00
94.59,28100.00
94.60,28200.00
94.61,28200.00
94.62,28300.00
94.63,28300.00
94.64,28400.00
94.65,28400.00
94.66,28400.00
94.67,28500.00
94.68,28500.00
94.69,28600.00
94.70,28600.00
94.71,28600.00
94.72,28700.00
94.73,28700.00
94.74,28800.00
94.75,28800.00
94.76,28900.00
94.77,28900.00
94.78,28900.00
94.79,29000.00
94.80,29000.00
94.81,29100.00
94.82,29100.00
94.83,29100.00
94.84,29200.00
94.85,29200.00
94.86,29300.00
94.87,29300.00
94.88,29400.00
94.89,29400.00
94.90,29400.00
94.91,29500.00
94.92,29500.00
94.93,29600.00
94.94,29600.00
94.95,29600.00
94.96,29700.00
94.97,29700.00
94.98,29800.00
94.99,29800.00
95.00,29900.00
95.01,29900.00
95.02,29900.00
95.03,30000.00
95.04,30000.00
95.05,30100.00
95.06,30100.00
95.07,30200.00
95.08,30200.00
95.09,30200.00
95.10,30300.00
95.11,30300.00
95.12,30400.00
95.13,30400.00
95.14,30400.00
95.15,30500.00
95.16,30500.00
95.17,30600.00
95.18,30600.00
95.19,30700.00
95.20,30700.00
95.21,30700.00
95.22,30800.00
95.23,30800.00
95.24,30900.00
95.25,30900.00
95.26,31000.00
95.27,31000.00
95.28,31000.00
95.29,31100.00
95.30,31100.00
95.31,31200.00
95.32,31200.00
95.33,31200.00
95.34,31300.00
95.35,31300.00
95.36,31400.00
95.37,31400.00
95.38,31500.00
95.39,31500.00
95.40,31500.00
95.41,31600.00
95.42,31600.00
95.43,31700.00
95.44,31700.00
95.45,31800.00
95.46,31800.00
95.47,31800.00
95.48,31900.00
95.49,31900.00
95.50,32000.00
95.51,32000.00
95.52,32100.00
95.53,32100.00
95.54,32100.00
95.55,32200.00
95.56,32200.00
95.57,32300.00
95.58,32300.00
95.59,32300.00
95.60,32400.00
95.61,32400.00
95.62,32500.00
95.63,32500.00
95.64,32600.00
95.65,32600.00
95.66,32600.00
95.67,32700.00
95.68,32700.00
95.69,32800.00
95.70,32800.00
95.71,32900.00
95.72,32900.00
95.73,32900.00
95.74,33000.00
95.75,33000.00
95.76,33100.00
95.77,33100.00
95.78,33200.00
95.79,33200.00
95.80,33200.00
95.81,33300.00
95.82,33300.00
95.83,33400.00
95.84,33400.00
95.85,33500.00
95.86,33500.00
95.87,33500.00
95.88,33600.00
95.89,33600.00
95.90,33700.00
95.91,33700.00
95.92,33800.00
95.93,33800.00
95.94,33800.00
95.95,33900.00
95.96,33900.00
95.97,34000.00
95.98,34000.00
95.99,34100.00
96.00,34100.00
96.01,34100.00
96.02,34200.00
96.03,34200.00
96.04,34300.00
96.05,34300.00
96.06,34400.00
96.07,34400.00
96.08,34400.00
96.09,34500.00
96.10,34500.00
96.11,34600.00
96.12,34600.00
96.13,34600.00
96.14,34700.00
96.15,34700.00
96.16,34800.00
96.17,34800.00
96.18,34900.00
96.19,34900.00
96.20,34900.00
96.21,35000.00
96.22,35000.00
96.23,35100.00
96.24,35100.00
96.25,35200.00
96.26,35200.00
96.27,35200.00
96.28,35300.00
96.29,35300.00
96.30,35400.00
96.31,35400.00
96.32,35500.00
96.33,35500.00
96.34,35500.00
96.35,35600.00
96.36,35600.00
96.37,35700.00
96.38,35700.00
96.39,35800.00
96.40,35800.00
96.41,35800.00
96.42,35900.00
96.43,35900.00
96.44,36000.00
96.45,36000.00
96.46,36100.00
96.47,36100.00
96.48,36200.00
96.49,36200.00
96.50,36200.00
96.51,36300.00
96.52,36300.00
96.53,36400.00
96.54,36400.00
96.55,36500.00
96.56,36500.00
96.57,36500.00
96.58,36600.00
96.59,36600.00
96.60,36700.00
96.61,36700.00
96.62,36800.00
96.63,36800.00
96.64,36800.00
96.65,36900.00
96.66,36900.00
96.67,37000.00
96.68,37000.00
96.69,37100.00
96.70,37100.00
96.71,37100.00
96.72,37200.00
96.73,37200.00
96.74,37300.00
96.75,37300.00
96.76,37400.00
96.77,37400.00
96.78,37400.00
96.79,37500.00
96.80,37500.00
96.81,37600.00
96.82,37600.00
96.83,37700.00
